Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Manet,İş Bankası Kültür Yayınları,Nigel Rodgers,1.200.00,720.00,Yok,0.0
Karanlık Yollar,İş Bankası Kültür Yayınları,İvan Bunin,570.00,342.00,Yok,0.0
Karnaval,İş Bankası Kültür Yayınları,Ahmet Mithat Efendi,198.00,118.80,Yok,0.0
Ciddi Olmanın Önemi,İş Bankası Kültür Yayınları,Oscar Wılde,90.00,54.00,Yok,0.0
Ciddi Olmanın Önemi,İş Bankası Kültür Yayınları,Oscar Wılde,460.00,276.00,Yok,0.0
Karanlık Yollar,İş Bankası Kültür Yayınları,İvan Bunin,240.00,144.00,Yok,0.0
Plassans Papazi,LibrisHub Yayınları,Emile Zola,250.00,250.00,Yok,0.0
Sesler Adacığı,LibrisHub Yayınları,Robert Louis Stevenson,160.00,160.00,Yok,0.0
Tavşan Dudaklı Adam,LibrisHub Yayınları,Sir Arthur Conan Doyle,160.00,160.00,Yok,0.0
Yeraltından Notlar,LibrisHub Yayınları,Fyodor Mihailoviç Dostoyevski,180.00,180.00,Yok,0.0
Hiçkimse Koyu’nda Bir Yıl,Everest Yayınları,Peter Handke,545.00,354.25,Yok,0.0
Ütopya,LibrisHub Yayınları,Thomas More,160.00,160.00,Yok,0.0
Korktuğun Ne Varsa,April Yayıncılık,Alex Finlay,390.00,253.50,Yok,0.0
Güneş Ülkesi,Kırmızı Kedi Yayınevi,Tommaso Campanella,100.00,60.00,Yok,0.0
Melmoth,İthaki Yayınları,Sarah Perry,250.00,150.00,Yok,0.0
Yıldız Gezgini,İthaki Yayınları,Jack London,250.00,150.00,Yok,0.0
Mavi Oktav Defterleri,Kırmızı Kedi Yayınevi,Franz Kafka,100.00,60.00,Yok,0.0
Much Ado About Nothing: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Günahın Silinişi,Prime Kitap,Natasha Knight,340.00,340.00,Yok,0.0
Julius Caesar,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Richard II,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Pusudaki Dehşet,Otantik Kitap,H.P. Lovecraft,210.00,105.00,Yok,0.0
King Henry VIII; Or All is True,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Sudan Hikayeler,Türkiye Diyanet Vakfı Yayınları,Kadir Kargı,150.00,120.00,Yok,0.0
A Midsummer Night`s Dream: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Hicaz ve Suriye Hatırası,Türkiye Diyanet Vakfı Yayınları,El Hac Hüseyin Vassaf,800.00,640.00,Yok,0.0
The History Of King Lear: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
